n,sigma_c,c_mod_T,k,label,certifiable
2476464,0.007330045336857438,65.59999999984166,27856.0,run34,1
2476553,0.007326418301090598,65.69999999984165,27857.0,run34,1
2476642,0.007322791265323758,65.79999999984165,27858.0,run34,1
2476731,0.0073191646952182055,65.89999999984164,27859.0,run34,1
2476820,0.00731553859077394,65.99999999984163,27860.0,run34,1
2476909,0.007311912951990962,66.09999999984163,27861.0,run34,1
2476998,0.007308287313207984,66.19999999984162,27862.0,run34,1
2477087,0.007304662140086293,66.29999999984162,27863.0,run34,1
2477176,0.0073010369669646025,66.39999999984161,27864.0,run34,1
2477265,0.007297412259504199,66.4999999998416,27865.0,run34,1
2477354,0.007293787552043796,66.5999999998416,27866.0,run34,1
2477443,0.007290163775905967,66.6999999998416,27867.0,run34,1
2477532,0.007286539534106851,66.79999999984159,27868.0,run34,1
2477621,0.007282916223630309,66.89999999984158,27869.0,run34,1
2477710,0.007279292913153768,66.99999999984158,27870.0,run34,1
2477799,0.007275669602677226,67.09999999984157,27871.0,run34,1
2477888,0.007272047223523259,67.19999999984157,27872.0,run34,1
2477977,0.007268424378708005,67.29999999984156,27873.0,run34,1
2478066,0.007264802465215325,67.39999999984155,27874.0,run34,1
2478155,0.007261180551722646,67.49999999984155,27875.0,run34,1
2478244,0.0072575591038912535,67.59999999984154,27876.0,run34,1
2478333,0.007253937656059861,67.69999999984154,27877.0,run34,1
2478422,0.007250316673889756,67.79999999984153,27878.0,run34,1
2478510,0.007328767096623778,66.89999999984153,27879.0,run34,1
2478599,0.007325142854824662,66.99999999984152,27880.0,run34,1
2478688,0.007321519544348121,67.09999999984151,27881.0,run34,1
2478777,0.007317895768210292,67.19999999984151,27882.0,run34,1
2478866,0.007314272923395038,67.2999999998415,27883.0,run34,1
2478955,0.0073106500785797834,67.3999999998415,27884.0,run34,1
2479044,0.007307027233764529,67.49999999984149,27885.0,run34,1
2479133,0.00730340532027185,67.59999999984149,27886.0,run34,1
2479222,0.00729978340677917,67.69999999984148,27887.0,run34,1
2479311,0.0072961614932864904,67.79999999984148,27888.0,run34,1
2479400,0.007292540045455098,67.89999999984147,27889.0,run34,1
2479489,0.007288919063284993,67.99999999984146,27890.0,run34,1
2479578,0.007285298081114888,68.09999999984146,27891.0,run34,1
2479667,0.0072816775646060705,68.19999999984145,27892.0,run34,1
2479756,0.00727805751375854,68.29999999984145,27893.0,run34,1
2479845,0.00727443746291101,68.39999999984144,27894.0,run34,1
2479934,0.007270817877724767,68.49999999984144,27895.0,run34,1
2480023,0.007267198292538524,68.59999999984143,27896.0,run34,1
2480112,0.007263579173013568,68.69999999984142,27897.0,run34,1
2480201,0.0072599605191498995,68.79999999984142,27898.0,run34,1
2480290,0.007256341865286231,68.89999999984141,27899.0,run34,1
2480379,0.00725272367708385,68.9999999998414,27900.0,run34,1
2480468,0.007249105488881469,69.0999999998414,27901.0,run34,1
2480557,0.007245487766340375,69.1999999998414,27902.0,run34,1
2480646,0.007241870509460568,69.29999999984139,27903.0,run34,1
2480734,0.0073202496860176325,68.39999999984138,27904.0,run34,1
2480823,0.007316629169508815,68.49999999984138,27905.0,run34,1
2480912,0.0073130091186612844,68.59999999984137,27906.0,run34,1
2481001,0.007309389067813754,68.69999999984137,27907.0,run34,1
2481090,0.007305769948288798,68.79999999984136,27908.0,run34,1
2481179,0.007302150363102555,68.89999999984136,27909.0,run34,1
2481268,0.007298531709238887,68.99999999984135,27910.0,run34,1
2481357,0.007294913055375218,69.09999999984134,27911.0,run34,1
2481446,0.00729129440151155,69.19999999984134,27912.0,run34,1
2481535,0.007287676678970456,69.29999999984133,27913.0,run34,1
2481624,0.007284058490768075,69.39999999984133,27914.0,run34,1
2481713,0.0072804412338882685,69.49999999984132,27915.0,run34,1
2481802,0.007276823977008462,69.59999999984132,27916.0,run34,1
2481891,0.007273207185789943,69.69999999984131,27917.0,run34,1
2481980,0.0072695903945714235,69.7999999998413,27918.0,run34,1
2482069,0.007265974069014192,69.8999999998413,27919.0,run34,1
2482158,0.00726235774345696,69.9999999998413,27920.0,run34,1
2482247,0.0072587423492223024,70.09999999984129,27921.0,run34,1
2482336,0.007255126489326358,70.19999999984128,27922.0,run34,1
2482425,0.007251511560752988,70.29999999984128,27923.0,run34,1
2482514,0.007247896632179618,70.39999999984127,27924.0,run34,1
2482603,0.007244281703606248,70.49999999984126,27925.0,run34,1
2482692,0.007240667240694165,70.59999999984126,27926.0,run34,1
2482781,0.00723705324344337,70.69999999984125,27927.0,run34,1
2482869,0.007315364433452487,69.79999999984125,27928.0,run34,1
2482958,0.0073117471765726805,69.89999999984124,27929.0,run34,1
2483047,0.007308130385354161,69.99999999984124,27930.0,run34,1
2483136,0.007304514059796929,70.09999999984123,27931.0,run34,1
